id,created_timestamp,title,description,category_label,category_tag,company_name,salary_min,salary_max,country,state,county,city,lat,lon,search_state,search_term
5528362930,2025-12-04T16:10:00Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,103636.12,103636.12,US,California,Butte County,Chico,39.746132,-121.844875,CA,machine learning
5528362949,2025-12-04T16:10:00Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,106749.01,106749.01,US,California,San Diego County,San Diego,32.726967,-117.164709,CA,machine learning
5528371698,2025-12-04T16:11:27Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,105370.3,105370.3,US,California,Merced County,Merced,37.375415,-120.380194,CA,machine learning
5528362945,2025-12-04T16:10:00Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,101525.93,101525.93,US,California,Los Angeles County,Los Angeles,,,CA,machine learning
5528363155,2025-12-04T16:10:02Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,108914.15,108914.15,US,California,Los Angeles County,Northridge,34.241394,-118.550616,CA,machine learning
5528356940,2025-12-04T16:09:08Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,98591.39,98591.39,US,California,Kern County,Bakersfield,35.387358,-119.016896,CA,machine learning
5528330641,2025-12-04T16:04:57Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,102809.02,102809.02,US,California,San Joaquin County,Stockton,37.957384,-121.288386,CA,machine learning
5528330601,2025-12-04T16:04:56Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,100593.19,100593.19,US,California,Sacramento County,Sacramento,38.596713,-121.494174,CA,machine learning
5464054846,2025-10-25T08:35:38Z,Machine Learning Engineer,"Rebel Space Technologies is seeking a talented and experienced Machine Learning Engineer to join our team. Machine Learning Engineer: At Rebel Space, our mission is to protect critical space infrastructure through enhanced observability and space system cybersecurity. We believe that as space infrastructure expands, it will be increasingly difficult to secure and monitor these systems against critical failures or evolving cyber threats. To address this, we are building software that empowers de…",IT Jobs,it-jobs,Rebel Space Technologies,140000,220000,US,California,Los Angeles County,Long Beach,33.8232,-118.25851,CA,machine learning
5709003089,2026-04-23T23:09:44Z,Machine Learning Engineer,"Company Overview At Motorola Solutions, we believe that everything starts with our people. We’re a global close-knit community, united by the relentless pursuit to help keep people safer everywhere. We build and connect technologies to help protect people, property and places. Our solutions foster the collaboration that’s critical for safer communities, safer schools, safer hospitals, safer businesses, and ultimately, safer nations. Connect with a career that matters, and help us build a safer …",IT Jobs,it-jobs,Motorola Solutions,125720.02,125720.02,US,California,Los Angeles County,Los Angeles,,,CA,machine learning
5455603304,2025-10-19T16:38:48Z,Machine Learning Researcher,"Work Authorization Requirement: Due to the nature of our business and compliance with federal regulations, all candidates must be a ""U.S. Person"". Upon hire, you will be required to provide documentation verifying your status as a U.S. Citizen, a lawful permanent resident, or a protected individual under 8 U.S.C. 1324b(a)(3). Role: Machine Learning Researcher Location: 2550 N First Street Suite 250, San Jose, California 95131 Compensation*: $150,000-$290,000  benefits Role Description We are se…",Scientific & QA Jobs,scientific-qa-jobs,Rivet Industries,150000,290000,US,California,Santa Clara County,San Jose,37.390494,-121.885434,CA,machine learning
5713277342,2026-04-28T23:09:45Z,"Staff Engineer, Machine Learning","We are CARIAD , an automotive software development team with the Volkswagen Group. Our mission is to make the automotive experience safer, more sustainable, more comfortable, more digital, and more fun. To achieve that we are building the leading tech stack for the automotive industry and creating a unified software platform for over 10 million new vehicles per year. We’re looking for talented, digital minds like you to help us create code that moves the world. Together with you, we’ll build ou…",Engineering Jobs,engineering-jobs,Cariad,196267,269203,US,California,Santa Clara County,Mountain View,37.378535,-122.086585,CA,machine learning
5752317411,2026-06-04T17:01:54Z,Machine Learning Leader - Optical Solutions,"Molex is a global leader in the optical industry, renowned for delivering high-performance, field-proven wavelength management solutions. Our expertise spans components, modules, and integrated line-cards, with a strong focus on innovation, miniaturization, and manufacturing automation. Our advanced optical, mechanical, electrical, and software design capabilities support the evolving needs of high-density, high-bandwidth, and flexible optical networks across telecom, datacom, hyperscale datace…",IT Jobs,it-jobs,Molex,143298.12,143298.12,US,California,Alameda County,Fremont,37.56283,-122.00044,CA,machine learning
5496148757,2025-11-14T09:59:55Z,Machine Learning Researcher / Engineer (Foundational Models),"About Pathway At Pathway we are shaking the foundations of artificial intelligence by introducing the world’s first post-transformer model that adapts and thinks just like humans. Our breakthrough architecture outperforms Transformer and provides the enterprise with full visibility into how the model works. Combining the foundational model with the fastest data processing engine on the market, Pathway enables enterprises to move beyond incremental optimization and toward truly contextualized, e…",IT Jobs,it-jobs,Pathway,100000,100000,US,California,Santa Clara County,Palo Alto,37.445797,-122.157575,CA,machine learning
5756473105,2026-06-08T15:13:18Z,Supply planning Manager,"Supply Planning Manager Location: Santa Clara, CA Duration: Full-time/Perm Client, a semiconductor company headquartered in the heart of California's Silicon Valley, is a leader in purpose-built connectivity solutions for data-centric systems throughout the data center. Partnering with leading processor vendors, cloud service providers, seasoned investors, and world-class manufacturing companies, client is helping customers remove performance bottlenecks in data-intensive systems that are limit…",IT Jobs,it-jobs,InterSources,139542.25,139542.25,US,California,Santa Clara County,Santa Clara,37.34901,-121.93915,CA,machine learning
5634631196,2026-02-18T10:28:29Z,Robotics Controls Engineer,"Company Description Backed by leading climate and American dynamism investors, Terranova builds intelligent robotic systems to terraform the Earth itself - lifting land, restoring wetlands, and protecting critical infrastructure from floods and sea-level rise. Our mission is to preserve the built environment, create new habitats, and usher in an era of abundance. Our work supports climate resilience, disaster recovery, and defense across the United States and beyond. We’re assembling a world-cl…",Engineering Jobs,engineering-jobs,Terranova,99926.75,99926.75,US,California,Alameda County,Berkeley,37.868058,-122.285237,CA,machine learning
5752632976,2026-06-04T21:25:18Z,Senior Data Governance Professional,"At Cotality, we are driven by a single mission-to make the property industry faster, smarter, and more people-centric. Cotality is the trusted source for property intelligence, with unmatched precision, depth, breadth, and insights across the entire ecosystem. Our talented team of 5,000 employees globally uses our network, scale, connectivity and technology to drive the largest asset class in the world. Join us as we work toward our vision of fueling a thriving global property ecosystem and a m…",IT Jobs,it-jobs,Cotality,128154.77,128154.77,US,California,Orange County,Irvine,33.751486,-117.75493,CA,machine learning
5734612748,2026-05-19T21:27:07Z,Senior Technical Product Manager (AI Platforms),"Senior Technical Product Manager (AI Platforms) Remote | AI / Test Automation | Competitive Salary  Equity Senior or Principal-level TPM role at a fast-scaling AI-powered software company Own the end-to-end product lifecycle for intelligent, AI-driven testing systems Deep technical scope across AI/ML, APIs, distributed systems and platform architecture Fully remote working with genuine autonomy and trust Competitive salary, equity opportunities and comprehensive benefits About the Company Our c…",IT Jobs,it-jobs,Ocho People,175346.98,175346.98,US,California,San Francisco,,37.798085,-122.466538,CA,machine learning
5696316943,2026-04-10T23:17:27Z,"Senior Data Scientist, Data Analytics & Reporting (N380)","Salary Range: $9,333.00 - $12,576.46 monthly SUMMARY The Los Angeles County Department of Homeless Services and Housing (HSH) consolidates our countywide response to homelessness. The driving force behind HSH is increasing accountability and transparency, improving care for people experiencing or at risk of homelessness, and streamlining collaboration with partners including services providers, the County’s 88 cities, and unincorporated areas to deliver high-quality, life-saving care. Staff sch…",IT Jobs,it-jobs,Heluna Health,111996,150917,US,California,Los Angeles County,Textile Finance,34.043238,-118.250918,CA,machine learning
5645458188,2026-02-25T16:00:45Z,"Senior Data Scientist, Data Analytics & Reporting (N92)","Salary Range: $9,333.00 - $12,576.46 per month SUMMARY The Los Angeles County Department of Homeless Services and Housing (HSH) consolidates our countywide response to homelessness. The driving force behind HSH is increasing accountability and transparency, improving care for people experiencing or at risk of homelessness, and streamlining collaboration with partners including services providers, the County’s 88 cities, and unincorporated areas to deliver high-quality, life-saving care. Staff s…",IT Jobs,it-jobs,Heluna Health,111996,150917,US,California,Los Angeles County,Textile Finance,34.043238,-118.250918,CA,machine learning
5746310017,2026-05-31T03:35:35Z,Staff GenAI/ML Engineer (Emerging Tech & AI Automation) Project Hire,"Job Posting Title: Staff GenAI/ML Engineer (Emerging Tech & AI Automation) Project Hire Req ID: 10141861 Job Description: At Disney, we’re storytellers. We make the impossible, possible. The Walt Disney Company (TWDC) is a world-class entertainment and technological leader. Walt’s passion was to continuously envision new ways to move audiences around the world—a passion that remains our touchstone in an enterprise that stretches from theme parks, resorts and a cruise line to sports, news, movie…",IT Jobs,it-jobs,The Walt Disney Company,179700,241000,US,California,Los Angeles County,Burbank,34.203909,-118.293589,CA,machine learning
5345158491,2025-08-09T03:06:18Z, Computational Materials Scientist ,"Overview We look for computational materials scientists excited about bridging the gap between materials/chemistry, data science, and computer science to help us develop a software framework for designing and discovering new advanced materials and chemicals. Work will focus on (1) the application of nanoscale modeling to large sets of materials, surfaces, and reaction pathways with minimal human input, (2) organizing the data produced by the models and experimental validation, (3) establishing …",Scientific & QA Jobs,scientific-qa-jobs,Mat3ra,90000,140000,US,California,Contra Costa County,Waldon,37.90212,-122.05572,CA,machine learning
5345158547,2025-08-09T03:06:19Z, Lead Frontend Engineer (React.js) ,"Overview We look for Senior Engineers looking for challenging work to bridge the gap between materials/chemistry, AI/ML , and computer science to help us develop a software framework for designing and discovering new advanced materials and chemicals. More about our codebase and team on our GitHub page . Work will focus on (1) building 3D and 2D design applications for nanoscale materials and chemistry, (2) organizing the data produced by the models and experimental validation, (3) implementing …",Scientific & QA Jobs,scientific-qa-jobs,Mat3ra,120000,180000,US,California,San Francisco,,37.798085,-122.466538,CA,machine learning
5345158494,2025-08-09T03:06:18Z, Head of Engineering,"Overview We look for Senior Engineers excited about bridging the gap between materials/chemistry, data science, and computer science to help us develop a software framework for designing and discovering new advanced materials and chemicals. More about our codebase and team on our GitHub page . Work will focus on (1) building a cloud-based distributed web platform for nanoscale materials and chemistry, (2) planning and organizing the work of the engineering team, (3) establishing the architectur…",IT Jobs,it-jobs,Mat3ra,130000,200000,US,California,Contra Costa County,Waldon,37.90212,-122.05572,CA,machine learning
5345158492,2025-08-09T03:06:18Z,☄️ Lead Software Engineer (Node.js) ☄️,"Overview We look for Senior Engineers excited about bridging the gap between materials/chemistry, data science, and computer science to help us develop a software framework for designing and discovering new advanced materials and chemicals. More about our codebase and team on our GitHub page . Work will focus on (1) building 3D and 2D design applications for nanoscale materials and chemistry, (2) organizing the data produced by the models and experimental validation, (3) establishing the infras…",IT Jobs,it-jobs,Mat3ra,120000,180000,US,California,Contra Costa County,Waldon,37.90212,-122.05572,CA,machine learning
