id,created_timestamp,title,description,category_label,category_tag,company_name,salary_min,salary_max,country,state,county,city,lat,lon,search_state,search_term
5721418246,2026-05-07T04:00:20Z,"Software Engineer, Artificial Intelligence/LLM (Multiple Seniority Levels)","About Beacon AI We’re a fast-moving team of aviators, engineers, and operators building an AI platform to make flying safer, more efficient, and more capable. Backed by top investors, we’ve secured a dozen Department of Defense contracts and partnered with major airlines to deliver mission-critical systems. We operate without silos or heavy processes. Small, focused teams own what they build, ship quickly, and learn fast, pushing the boundaries of how humans and AI work together in aviation. Yo…",IT Jobs,it-jobs,Beacon AI,130000,225000,US,California,San Mateo County,San Carlos,37.507159,-122.260522,CA,artificial intelligence
5528330641,2025-12-04T16:04:57Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,102809.02,102809.02,US,California,San Joaquin County,Stockton,37.957384,-121.288386,CA,artificial intelligence
5528330601,2025-12-04T16:04:56Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,100593.19,100593.19,US,California,Sacramento County,Sacramento,38.596713,-121.494174,CA,artificial intelligence
5528356940,2025-12-04T16:09:08Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,98591.39,98591.39,US,California,Kern County,Bakersfield,35.387358,-119.016896,CA,artificial intelligence
5528362930,2025-12-04T16:10:00Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,103636.12,103636.12,US,California,Butte County,Chico,39.746132,-121.844875,CA,artificial intelligence
5528371698,2025-12-04T16:11:27Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,105370.3,105370.3,US,California,Merced County,Merced,37.375415,-120.380194,CA,artificial intelligence
5528362949,2025-12-04T16:10:00Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,106749.01,106749.01,US,California,San Diego County,San Diego,32.726967,-117.164709,CA,artificial intelligence
5528362945,2025-12-04T16:10:00Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,101525.93,101525.93,US,California,Los Angeles County,Los Angeles,,,CA,artificial intelligence
5528363155,2025-12-04T16:10:02Z,"Machine Learning Engineer II, Logistics AI","We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",IT Jobs,it-jobs,Instacart,108914.15,108914.15,US,California,Los Angeles County,Northridge,34.241394,-118.550616,CA,artificial intelligence
5755411521,2026-06-07T07:05:40Z,Low Voltage Traveling Lead Technician- Elite Camera-Automation Team,"Job Description Job Description Wachter's greatest asset is the people who work here. Join the Wachter family and chart your career path! Are you ready to join an elite tier of technicians? Wachter is seeking an Elite Data Cable Technician to join our premier low-voltage team on a long-term project involving advanced robotics and cutting-edge conveyor systems. This is a unique opportunity for a ""road warrior"" to join an exclusive group of technicians—if you have the drive, we will even pay for …",Engineering Jobs,engineering-jobs,"Wachter, Inc.",80173.66,80173.66,US,California,Sacramento County,Sacramento,38.596713,-121.494174,CA,artificial intelligence
5755410976,2026-06-07T07:05:19Z,Diesel Technician/Mechanic,"Job Description Job Description Zūm has reimagined student transportation, the nation's largest mass transit system. Our integrated end-to-end cloud-based platform provides a modern service for school districts purpose-built around the needs of kids and the expectations of their families. Zūm provides one seamless, real-time interface for parents, drivers, schools, districts, administrators, and operators, to transport children safely and with increased visibility and personalized care. Our mul…",Engineering Jobs,engineering-jobs,Zūm,94702.36,94702.36,US,California,San Francisco,,37.798085,-122.466538,CA,artificial intelligence
5738419808,2026-05-23T00:48:09Z,"Founding Director, AI Archive","Do you have deep knowledge of the AI ecosystem and a passion for preserving the history of artificial intelligence and robotics? Are you a visionary relationship-builder excited to shape a groundbreaking initiative from the ground up? We are currently in search of a Founding Director, AI Initiative for the Computer History Museum . This position is hybrid in Mountain View, CA . ORGANIZATION: Computer History Museum LOCATION: Mountain View, CA POSITION TITLE: Founding Director, AI Initiative SCH…",IT Jobs,it-jobs,Careers In Nonprofits,140000,150000,US,California,Santa Clara County,Mountain View,37.378535,-122.086585,CA,artificial intelligence
5308158418,2025-07-17T11:39:22Z,Spontaneous Application,"About Pathway At Pathway we are shaking the foundations of artificial intelligence by introducing the world’s first post-transformer model that adapts and thinks just like humans. Our breakthrough architecture outperforms Transformer and provides the enterprise with full visibility into how the model works. Combining the foundational model with the fastest data processing engine on the market, Pathway enables enterprises to move beyond incremental optimization and toward truly contextualized, e…",IT Jobs,it-jobs,Pathway,99978.13,99978.13,US,California,Santa Clara County,Palo Alto,37.445797,-122.157575,CA,artificial intelligence
5755411595,2026-06-07T07:05:42Z,Diesel Technician/Mechanic,"Job Description Job Description About Zūm: Zūm is revolutionizing mass mobility with its Connected Mobility Experience ( Zūm CMX ™) system that connects and coordinates people, vehicles, and operations in real time. In the $50 billion student mobility market – the largest segment of the mass mobility industry – Zūm CMX is transforming a daily source of anxiety and disruption into a reliable, transparent, and efficient mobility experience for students and families. Today, more than 4,500 schools…",Engineering Jobs,engineering-jobs,Zūm,110567.07,110567.07,US,California,Alameda County,Oakland,37.772927,-122.214332,CA,artificial intelligence
5345158491,2025-08-09T03:06:18Z, Computational Materials Scientist ,"Overview We look for computational materials scientists excited about bridging the gap between materials/chemistry, data science, and computer science to help us develop a software framework for designing and discovering new advanced materials and chemicals. Work will focus on (1) the application of nanoscale modeling to large sets of materials, surfaces, and reaction pathways with minimal human input, (2) organizing the data produced by the models and experimental validation, (3) establishing …",Scientific & QA Jobs,scientific-qa-jobs,Mat3ra,90000,140000,US,California,Contra Costa County,Waldon,37.90212,-122.05572,CA,artificial intelligence
5692871769,2026-04-08T02:16:27Z,Controller,"GHJ Search and Staffing serves as the recruitment division of GHJ, a prominent national accounting and advisory firm. Our team provides qualified Accounting and Finance professionals on a temporary and permanent basis across a broad range of industries. GHJ’s relationship with our Global Advisory and Accounting Network provides the resources needed to better understand client’s needs, attract a higher caliber of candidates and assess candidate potential. A company in the food manufacturing/dist…",Accounting & Finance Jobs,accounting-finance-jobs,GHJ,168719.94,168719.94,US,California,San Bernardino County,Rancho Cucamonga,34.135667,-117.614146,CA,artificial intelligence
5692782559,2026-04-08T00:04:56Z,Senior Staff Accountant,"GHJ Search and Staffing serves as the recruitment division of GHJ, a prominent national accounting and advisory firm. Our team provides qualified Accounting and Finance professionals on a temporary and permanent basis across a broad range of industries. GHJ’s relationship with our Global Advisory and Accounting Network provides the resources needed to better understand client’s needs, attract a higher caliber of candidates and assess candidate potential. A company is seeking a Senior Staff Acco…",Accounting & Finance Jobs,accounting-finance-jobs,GHJ,122211.05,122211.05,US,California,San Bernardino County,Rancho Cucamonga,34.135667,-117.614146,CA,artificial intelligence
