id,month_year,year,title,description,category_label,company_name,salary_min,salary_max,country,state,county,city,lat,lon,is_ai_related,ai_relevance,matched_ai_terms,date_created
3673871266,2022-11,2022,Data Integration Developer,"This role is open to any candidate in the United States Pandata Group is a cloud-first data analytics services firm that builds data-driven communities. Our mission is to create a legacy of impactful growth for individuals, organizations, and communities by sharing what we do best. This is balanced with a vision to help organizations evolve into a focused, fast, flexible and fun data science community that engages employees at all levels of an organization. As one of our Data Integration Consul…",IT Jobs,Pandata Group,88625.23,88625.23,US,Alabama,Madison County,Madison,34.78047,-86.746666,False,Not AI,,2022-11-09 04:09:12+00:00
3786221249,2022-12,2022,Data Integration Consultant,"This role is open to any candidate in the United States Pandata Group is a cloud-first data analytics services firm that builds data-driven communities. Our mission is to create a legacy of impactful growth for individuals, organizations, and communities by sharing what we do best. This is balanced with a vision to help organizations evolve into a focused, fast, flexible and fun data science community that engages employees at all levels of an organization. As one of our Data Integration Consul…",IT Jobs,Pandata Group,86980.55,86980.55,US,Illinois,Cook County,Chicago,41.877521,-87.611233,False,Not AI,,2022-12-19 04:14:14+00:00
4046418720,2023-04,2023,Sr. Data Architect - Snowflake,"This role is open to any candidate in the United States As our Data Architect, you love the challenge of helping leading companies make the shift to digital with data transformation solutions. You will be an integral piece of our client's enterprise strategy and architect, design, develop, and deploy end-to-end data analytics solutions in the Cloud for our clients. You work well in a casual yet fast-paced team environment. You work well with others yet have the independence to support and drive…",IT Jobs,Pandata Group,100000.0,500000.0,US,Illinois,Cook County,Chicago,41.877521,-87.611233,False,Not AI,,2023-04-18 06:29:30+00:00
4756354238,2024-06,2024,"Sr. Architect, Software Engineering","We are CalAmp, a connected intelligence company that gives people the ability to track, monitor and recover their vital assets with real-time visibility and insights. Currently, we are seeking a Sr. Architect, Software Engineering with at least 7-10 years of experience. This is an exciting opportunity for those who align with our core values (Inclusion, Innovation, Execution, Customer Success) and for those who desire to build, sell, and/or support connected solutions and services. Manage and e…",IT Jobs,CalAmp,120355.0,206323.0,US,California,San Diego County,Carlsbad,33.156451,-117.331525,False,Not AI,,2024-06-28 07:42:23+00:00
4802595390,2024-07,2024,Sr Peoplesoft Developer/Analyst,"Title: Sr Peoplesoft Developer/Analyst Location: Orlando, FL on-site from Day 1 Type: FT/Permanent Rate: $110K per year  full benefits  full relocation NOTE: This is an 80 to 90% Technical Developer position. NOT Techno-Functional Position Description: The Sr. Programmer Analyst will be responsible to design PeopleSoft HRMS programs and/or applications as needed to meet user needs and business requirements. Analyze information request and discuss with user to assemble all elements required to d…",IT Jobs,RiseIT Solutions,104921.17,104921.17,US,Florida,Orange County,Orlando,28.541666,-81.375686,False,Not AI,,2024-07-31 10:13:41+00:00
4802644497,2024-07,2024,"Staff Software Engineer, Mission Software","At Vast, our mission is to contribute to a future where billions of people are living and thriving in space. Vast is developing next-generation space stations to ensure a continuous human presence in space for America and its allies, enabling advanced microgravity research and manufacturing, and unlocking a new space economy for government, corporate, and private customers. Using an incremental, hardware-rich and low-cost approach, Vast is rapidly developing its multi-module Haven Station. Have…",IT Jobs,Vast,188600.0,267720.0,US,California,Los Angeles County,Long Beach,33.8232,-118.25851,False,Not AI,,2024-07-31 10:17:22+00:00
4802639280,2024-07,2024,IT Service Desk Manager (FTE),"Title: IT Service Desk Manager Location: Redwood City, CA (onsite) Type: Full-time Permanent (competitive salary  bonus and equity) *Ideal candidate will have previous service desk management experience in the Life Sciences, Biotech or Pharmaceutical industry. Overview: The IT Service Desk Manager’s role is to oversee all Service Desk staff and ensure that end users (approx. 400) are receiving the appropriate assistance. This includes the responsibility of managing all procedures related to ide…",IT Jobs,AdeptSource,76061.23,76061.23,US,California,San Mateo County,San Carlos,37.53244,-122.248835,False,Not AI,,2024-07-31 10:17:03+00:00
4802642122,2024-07,2024,Teradata Developer,"Hi, We are retained by one of the Top 5 Consulting firm in US which has in its Client list most of the Fortune 500 Companies. We now have Multiple- Full Time permanent opportunities- for Teradata Developer @ Cupertino, CA and the details these positions are given below. Kindly keep me posted with your resume at sam@mint-biz.com or call me at 703 665 4483 or Kindly refer me someone who would be a good fit for the opportunity Job Title : Teradata Developer Work Location : Cupertino, CA Term : Ful…",IT Jobs,Mintbiz,124195.28,124195.28,US,California,Santa Clara County,Cupertino,37.322998,-122.032182,False,Not AI,,2024-07-31 10:17:13+00:00
4814508088,2024-08,2024,Team Lead Software Engineer,"Team Lead Software Engineer, Microservices. Go, NATS, Dallas, TX Hybrid Compensation Commensurate with experience, bonus, benefits, EOE, diverse highly educated culture. Candidates must be a U.S. citizen or national, refugee, asylum, or lawful permanent residents. Summary Our client, a digital manufacturing company based in Massachusetts, is constantly looking for a Software Engineers with deep expertise in Golang and with a strong desire to create applications for high-load systems to enable d…",IT Jobs,Bailey Staffing Firm,73399.43,73399.43,US,Texas,Dallas,,32.798895,-96.767002,False,Not AI,,2024-08-07 07:51:27+00:00
4817098774,2024-08,2024,"Sr.Networking Engineer CCIE Bethesda, MD","ZDAAS is currently Looking for Network Engineer (strong route and switch background in a Cisco Environment) in Bethesda, Maryland Location: Bethesda, Maryland Number of positions : 2 Position :Full Time Permanent Clearance : Public Trust Level 5 Clearance Summary ZDAAS, an Information Technology Company, is seeking two Network Engineers for our end-client as a full time employee. This position requires certification: Job Duties: Gather network requirements by interviewing agencies, federal staf…",IT Jobs,Zdaas,91650.91,91650.91,US,Maryland,Baltimore County,Baltimore,39.296337,-76.621054,False,Not AI,,2024-08-08 09:58:43+00:00
